dep_amt ,dep_days_greater100e,wth_amt ,wth_days_greatter100e,stake_amt,stake_days_greater500e,paid_bonus,no_bets,abs_ggr_days_greater200e,no_logins,vip
28,0,41,0,205,0,0,92,0,41,not VIP
177,0,108,1,1343,1,0,3576,0,21,VIP
114,1,0,0,424,0,0,56,0,11,not VIP
114,1,0,0,237,0,0,8,0,1,not VIP
231,0,122,1,4295,1,0,3512,0,60,not VIP
11,0,0,0,44,0,0,108,0,1,not VIP
224,1,0,0,200,0,36,127,0,86,not VIP
153,1,163,1,314,0,0,24,0,13,not VIP
119,0,0,0,2167,1,59,5121,0,30,not VIP
385,3,0,0,27733,4,0,3332,1,49,not VIP
58,0,0,0,134,0,0,138,0,3,not VIP
18,0,0,0,61,0,0,224,0,96,not VIP
228,0,231,1,2181,1,12,724,0,79,not VIP
46,0,0,0,413,0,0,890,0,39,not VIP
37,0,0,0,1010,1,0,748,0,17,not VIP
138,0,0,0,1277,1,0,8082,0,23,not VIP
84,0,0,0,399,0,0,1258,0,15,not VIP
21,0,40,0,136,0,0,24,0,13,not VIP
198,0,123,0,804,0,0,259,0,53,not VIP
246,0,154,1,4603,4,45,6098,1,97,not VIP
1660,5,0,0,12733,5,0,12850,3,20,VIP
137,1,0,0,478,0,0,4,2,9,not VIP
50,0,0,0,235,0,0,137,0,24,not VIP
49,0,0,0,1487,1,0,457,0,24,not VIP
846,3,0,0,70881,10,0,13675,6,50,VIP
77,0,0,0,160,0,0,427,0,18,not VIP
105,0,0,0,1769,2,0,9673,0,48,not VIP
31,0,0,0,379,0,0,206,0,9,not VIP
6196,8,0,0,192466,8,0,2311,7,222,VIP
24,0,0,0,54,0,0,274,0,1,not VIP
123,0,0,0,1643,0,0,7096,0,66,not VIP
100,1,0,0,225,0,0,327,0,195,not VIP
77,0,0,0,197,0,0,1064,0,14,not VIP
18,0,0,0,58,0,0,96,0,193,not VIP
112,0,136,0,536,0,0,333,0,44,not VIP
199,1,0,0,205,0,0,8,0,13,not VIP
555,2,0,0,2412,2,0,287,1,32,not VIP
1338,4,0,0,12901,5,0,615,2,17,not VIP
602,4,0,0,10309,5,239,1694,2,115,not VIP
122,0,948,1,1851,1,732,230,0,40,not VIP
109,0,0,0,1478,1,0,3332,0,17,not VIP
71,0,0,0,199,0,0,41,0,10,not VIP
139,0,201,0,1120,0,0,358,0,37,not VIP
159,0,153,1,2615,1,0,55,0,18,not VIP
223,1,232,1,3225,2,32,7152,0,40,not VIP
143,0,0,0,1678,1,17,509,0,43,not VIP
31,0,0,0,45,0,0,14,0,10,not VIP
77,0,185,0,915,1,0,4902,0,13,not VIP
320,1,0,0,622,1,0,15,1,5,not VIP
31,0,0,0,76,0,0,20,0,2,not VIP
15,0,0,0,17,0,0,9,0,10,not VIP
627,4,0,0,2892,1,0,262,0,54,VIP
73,0,0,0,69,0,14,260,0,238,not VIP
112,0,301,1,401,0,0,19,0,36,not VIP
139,0,62,0,2136,2,0,928,0,29,not VIP
47,0,0,0,1270,1,0,224,0,15,not VIP
26,0,31,0,513,0,0,274,0,28,not VIP
583,3,467,1,27150,11,391,6517,6,121,not VIP
200,0,62,0,3383,4,0,21452,0,54,VIP
90,0,0,0,84,0,0,301,0,55,not VIP
41,0,0,0,226,0,6,106,0,126,not VIP
108,1,0,0,456,0,0,317,0,3,not VIP
46,0,0,0,92,0,0,394,0,8,not VIP
492,2,228,1,3384,2,0,682,0,84,not VIP
62,0,0,0,247,0,0,214,0,17,not VIP
93,0,154,1,5904,3,0,351,0,32,not VIP
154,1,0,0,561,1,0,170,0,7,not VIP
801,3,154,1,7430,8,0,182,2,95,VIP
139,0,0,0,368,0,0,117,0,29,not VIP
15,0,0,0,237,0,0,99,0,51,not VIP
584,2,3777,4,5239,4,0,36,5,48,not VIP
31,0,0,0,411,0,0,350,0,6,not VIP
246,0,0,0,650,0,0,120,0,47,not VIP
62,0,0,0,109,0,0,18,0,1,not VIP
211,0,0,0,450,0,0,212,0,40,not VIP
77,0,770,1,508,0,0,1005,1,13,not VIP
137,0,0,0,1392,1,0,117,0,82,not VIP
46,0,0,0,128,0,0,685,0,14,not VIP
67,0,0,0,148,0,0,91,0,15,not VIP
136,0,0,0,467,0,0,991,0,70,not VIP
154,0,0,0,357,0,0,95,0,156,not VIP
77,0,0,0,273,0,0,76,0,23,not VIP
62,0,0,0,348,0,8,105,0,32,not VIP
324,1,0,0,802,1,0,7,1,15,not VIP
15,0,0,0,22,0,0,5,0,6,not VIP
69,0,0,0,1341,1,0,1314,0,23,not VIP
146,0,0,0,4465,2,0,11060,0,30,not VIP
1218,5,704,2,6025,4,0,13397,3,56,not VIP
873,3,77,0,3490,3,0,366,1,89,not VIP
15,0,76,0,844,0,9,169,0,185,not VIP
170,1,92,0,953,1,0,43,0,19,not VIP
155,0,0,0,2327,2,0,85,0,11,not VIP
161,1,0,0,430,0,0,16,0,21,not VIP
31,0,139,1,262,0,0,17,0,11,not VIP
